"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"1","1100000005","北京市交通委员会","http://jtw.beijing.gov.cn/","北京市交通委员会","正常"
"2","1100000008","北京市司法局","http://sfj.beijing.gov.cn","北京市司法局","正常"
"3","1100000009","北京市文物局","http://wwj.beijing.gov.cn","北京市文物局","正常"
"4","1100000011","北京市发展和改革委员会","http://fgw.beijing.gov.cn/","北京市发展和改革委员会","正常"
"5","1100000012","北京市统计局 国家统计局北京调查总队","http://tjj.beijing.gov.cn","北京市统计局","正常"
"6","1100000015","北京市体育局","http://tyj.beijing.gov.cn/","北京市体育局","正常"
"7","1100000016","北京市审计局","http://sjj.beijing.gov.cn/","北京市审计局","正常"
"8","1100000017","北京市人民政府国有资产监督管理委员会","http://gzw.beijing.gov.cn","北京市人民政府国有资产监督管理委员会","正常"
"9","1100000018","北京市经济和信息化局","http://jxj.beijing.gov.cn/creditbj/","北京市经济和信息化局办公室","正常"
"10","1100000019","北京市商务局","sw.beijing.gov.cn","北京市商务局新闻宣传处","正常"
"11","1100000039","中关村科技园区管理委员会","http://zgcgw.beijing.gov.cn","中关村科技园区管理委员会","正常"
"12","1100000040","北京市地方金融监督管理局","http://jrj.beijing.gov.cn","北京市地方金融监督管理局","正常"
"13","1100000041","北京市民政局","http://mzj.beijing.gov.cn","北京市民政局","正常"
"14","1100000042","北京市城市管理综合行政执法局","http://cgj.beijing.gov.cn","北京市城市管理综合行政执法局","正常"
"15","1100000049","北京市规划和自然资源委员会","http://ghzrzyw.beijing.gov.cn/","北京市规划和自然资源委员会","正常"
"16","1100000057","北京市消防救援总队","http://bj.119.gov.cn","北京市消防救援总队","正常"
"17","1100000060","北京市中医管理局","http://zyj.beijing.gov.cn/","北京市中医管理局","正常"
"18","1100000061","北京市监狱管理局（北京市戒毒管理局）","http://jyj.beijing.gov.cn","北京市监狱管理局（北京市戒毒管理局）办公室","正常"
"19","1100000062","北京市人力资源和社会保障局","http://rsj.beijing.gov.cn/","北京市人力资源和社会保障局","正常"
"20","1100000064","北京市水务局","http://swj.beijing.gov.cn","北京市水务局","正常"
"21","1100000065","北京市市场监督管理局","http://www.baic.gov.cn","北京市市场监督管理局","正常"
"22","1100000070","北京市应急管理局","yjglj.beijing.gov.cn","北京市应急管理局  办公室  信息中心","正常"
"23","1100000076","北京市民族宗教事务委员会","http://mzzjw.beijing.gov.cn/","北京市民族宗教事务委员会","正常"
"24","1100000085","北京市文化市场综合执法总队","whsczfzd.beijing.gov.cn","北京市文化市场综合执法总队","正常"
"25","1100000088","北京市人民政府","www.beijing.gov.cn","北京市经济和信息化委员会","正常"
"26","1100000092","北京市财政局","http://czj.beijing.gov.cn","北京市财政局办公室","正常"
"27","1100000101","北京市人民政府天安门地区管理委员会","http://tamgw.beijing.gov.cn","北京市人民政府天安门地区管理委员会","正常"
"28","1100000109","北京市广播电视局","http://gdj.beijing.gov.cn","北京市广播电视局","正常"
"29","1100000122","北京市生态环境局","http://sthjj.beijing.gov.cn","北京市生态环境局办公室","正常"
"30","1100000123","北京市投资促进服务中心","http://invest.beijing.gov.cn","北京市投资促进服务中心 信息服务中心","正常"
"31","1100000130","北京市城市管理委员会","csglw.beijing.gov.cn","北京市城市管理委员会办公室","正常"
"32","1100000140","北京市园林绿化局（首都绿化委员会办公室）","yllhj.beijing.gov.cn","北京市园林绿化局","正常"
"33","1100000144","北京市粮食和物资储备局","http://lsj.beijing.gov.cn/","北京市粮食和物资储备局","正常"
"34","1100000147","北京市知识产权局","http://zscqj.beijing.gov.cn","北京市知识产权局","正常"
"35","1100000152","北京市教育委员会","http://jw.beijing.gov.cn/","北京市教育委员会","正常"
"36","1100000158","北京经济技术开发区","http://kfqgw.beijing.gov.cn/","北京经济技术开发区管理委员会信息化工作办公室","正常"
"37","1100000159","北京市住房和城乡建设委员会","http://zjw.beijing.gov.cn","北京市住房和城乡建设委员会办公室","正常"
"38","1100000174","北京市公安局公安交通管理局","http://jtgl.beijing.gov.cn/","北京市公安局公安交通管理局","正常"
"39","1100000175","北京市人民政府外事办公室","http://wb.beijing.gov.cn","北京市人民政府外事办公室","正常"
"40","1100000176","北京市卫生健康委员会","http://wjw.beijing.gov.cn","北京市卫生健康委员会","正常"
"41","1100000181","北京市信访办公室","http://xfb.beijing.gov.cn","北京市信访办","正常"
